ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
43,Guest 00043,Female,1984-12-08,2020-04-25,Business,Organization,3,9,Promoters,Room service,Room,Very good,4
44,Guest 00044,Male,2001-01-14,2022-02-14,Business,Organization,1,3,Detractors,Room cleanliness,Room,Good,3
45,Guest 00045,Female,1968-02-08,2020-07-21,Vacation,Internet advertisement,4,9,Promoters,Food quality,Restaurant,Poor,1
46,Guest 00046,Male,1975-06-17,2022-11-11,Function,Search engine,4,9,Promoters,Variety of food,Restaurant,Poor,1
47,Guest 00047,Male,1973-08-02,2022-04-28,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
48,Guest 00048,Male,1951-02-25,2020-06-20,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Excellent,5
49,Guest 00049,Male,1990-04-15,2022-08-10,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
50,Guest 00050,Male,1996-01-15,2020-04-25,Business,hotel booking sites,3,9,Promoters,Check-in Process,Staff,Very good,4
51,Guest 00051,Male,1961-06-11,2022-01-30,Function,Television advertisement,5,4,Detractors,Room service,Room,Good,3
52,Guest 00052,Male,1978-06-21,2020-10-11,Function,Word of mouth,3,7,Passives,Room cleanliness,Room,Poor,1
53,Guest 00053,Male,1985-07-17,2022-03-30,Business,Organization,3,9,Promoters,Food quality,Restaurant,Poor,1
54,Guest 00054,Female,1970-01-27,2022-03-14,Function,Search engine,5,10,Promoters,Variety of food,Restaurant,Poor,1
55,Guest 00055,Male,1991-03-31,2021-12-12,Business,Organization,5,3,Detractors,Broadband & TV,Facility,Excellent,5
56,Guest 00056,Male,1972-12-26,2022-03-22,Business,Organization,4,9,Promoters,Gym,Facility,Very good,4
57,Guest 00057,Male,1996-12-24,2022-01-11,Business,Organization,5,9,Promoters,Staff attitude,Staff,Good,3
58,Guest 00058,Male,1991-10-28,2020-11-19,Function,Television advertisement,1,6,Detractors,Check-in Process,Staff,Excellent,5
59,Guest 00059,Male,1963-08-04,2020-07-22,Vacation,Word of mouth,5,8,Passives,Room service,Room,Good,3
60,Guest 00060,Female,1978-06-26,2020-07-25,Business,Organization,5,4,Detractors,Room cleanliness,Room,Average,2
61,Guest 00061,Female,1990-11-29,2022-07-21,Business,Organization,3,6,Detractors,Food quality,Restaurant,Excellent,5
62,Guest 00062,Female,1964-12-25,2020-10-14,Function,News paper,2,6,Detractors,Variety of food,Restaurant,Very good,4
63,Guest 00063,Male,1957-10-20,2021-08-02,Vacation,hotel booking sites,5,7,Passives,Broadband & TV,Facility,Excellent,5
64,Guest 00064,Female,1998-05-24,2021-08-18,Vacation,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
65,Guest 00065,Female,1974-04-26,2022-03-04,Function,Word of mouth,4,8,Passives,Staff attitude,Staff,Good,3
66,Guest 00066,Female,1959-03-20,2020-07-11,Vacation,hotel booking sites,3,8,Passives,Check-in Process,Staff,Very good,4
67,Guest 00067,Female,1965-04-07,2021-01-13,Business,Search engine,2,9,Promoters,Room service,Room,Average,2
68,Guest 00068,Female,1951-08-31,2021-01-28,Business,Search engine,4,9,Promoters,Room cleanliness,Room,Good,3
69,Guest 00069,Female,1955-08-21,2021-11-06,Function,Organization,5,9,Promoters,Food quality,Restaurant,Average,2
70,Guest 00070,Male,1968-12-10,2022-07-26,Vacation,hotel booking sites,3,9,Promoters,Variety of food,Restaurant,Poor,1
71,Guest 00071,Male,1999-11-02,2021-05-30,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
72,Guest 00072,Male,1995-10-04,2020-03-19,Function,Television advertisement,2,6,Detractors,Gym,Facility,Good,3
73,Guest 00073,Male,1952-08-01,2021-09-12,Business,Organization,4,9,Promoters,Staff attitude,Staff,Very good,4
74,Guest 00074,Male,1984-11-13,2021-11-27,Business,Organization,4,4,Detractors,Check-in Process,Staff,Excellent,5
75,Guest 00075,Male,1988-12-24,2020-10-30,Vacation,hotel booking sites,3,6,Detractors,Room service,Room,Very good,4
76,Guest 00076,Male,1952-08-02,2020-09-05,Function,Word of mouth,5,8,Passives,Room cleanliness,Room,Poor,1
77,Guest 00077,Male,1965-06-11,2021-03-25,Business,Organization,5,9,Promoters,Food quality,Restaurant,Excellent,5
78,Guest 00078,Male,1985-11-04,2021-06-25,Business,hotel booking sites,3,5,Detractors,Variety of food,Restaurant,Poor,1
79,Guest 00079,Male,1951-09-29,2022-09-13,Business,Organization,5,6,Detractors,Broadband & TV,Facility,Poor,1
80,Guest 00080,Male,1984-06-29,2020-06-03,Business,Organization,5,7,Passives,Gym,Facility,Average,2
81,Guest 00081,Male,1958-09-14,2021-09-28,Function,Search engine,4,9,Promoters,Staff attitude,Staff,Good,3
82,Guest 00082,Male,1953-12-31,2021-11-09,Vacation,Search engine,5,9,Promoters,Check-in Process,Staff,Very good,4
83,Guest 00083,Male,1953-11-15,2020-11-12,Business,Organization,3,8,Passives,Room service,Room,Good,3
84,Guest 00084,Male,1985-04-23,2022-07-18,Function,hotel booking sites,2,9,Promoters,Room cleanliness,Room,Very good,4
85,Guest 00085,Male,1982-01-28,2021-01-07,Business,Organization,2,9,Promoters,Food quality,Restaurant,Very good,4
86,Guest 00086,Male,1970-07-19,2020-04-08,Vacation,hotel booking sites,5,6,Detractors,Variety of food,Restaurant,Average,2
87,Guest 00087,Female,2000-07-12,2021-09-17,Vacation,Television advertisement,5,7,Passives,Broadband & TV,Facility,Average,2
88,Guest 00088,Male,1981-11-09,2021-05-20,Vacation,Word of mouth,5,9,Promoters,Gym,Facility,Average,2
89,Guest 00089,Female,1986-03-20,2022-06-13,Business,Word of mouth,4,7,Passives,Staff attitude,Staff,Very good,4
90,Guest 00090,Male,1984-11-27,2020-09-04,Function,Word of mouth,4,7,Passives,Check-in Process,Staff,Very good,4
91,Guest 00091,Male,1991-01-26,2020-10-05,Vacation,Word of mouth,4,9,Promoters,Room service,Room,Very good,4
92,Guest 00092,Female,2000-11-02,2021-06-27,Vacation,hotel booking sites,4,9,Promoters,Room cleanliness,Room,Excellent,5
93,Guest 00093,Female,1959-10-30,2021-10-16,Vacation,hotel booking sites,3,6,Detractors,Food quality,Restaurant,Average,2
94,Guest 00094,Female,2005-11-24,2022-07-17,Function,Organization,3,8,Passives,Variety of food,Restaurant,Poor,1
95,Guest 00095,Male,1956-03-03,2022-09-04,Vacation,Search engine,2,10,Promoters,Broadband & TV,Facility,Excellent,5
96,Guest 00096,Female,1968-11-18,2022-12-07,Vacation,hotel booking sites,3,9,Promoters,Gym,Facility,Good,3
97,Guest 00097,Female,1992-12-03,2021-05-06,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Very good,4
98,Guest 00098,Female,1951-07-05,2021-04-05,Vacation,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Very good,4
99,Guest 00099,Female,1967-11-04,2022-11-23,Business,Organization,2,9,Promoters,Room service,Room,Very good,4
100,Guest 00100,Male,1965-10-11,2021-10-10,Business,Organization,3,9,Promoters,Room cleanliness,Room,Very good,4
101,Guest 00101,Male,1985-01-01,2022-10-25,Business,Organization,2,4,Detractors,Food quality,Restaurant,Very good,4
102,Guest 00102,Male,1987-12-22,2021-04-06,Vacation,Word of mouth,3,4,Detractors,Variety of food,Restaurant,Poor,1
103,Guest 00103,Female,1987-01-24,2022-11-05,Business,Organization,5,8,Passives,Broadband & TV,Facility,Good,3
104,Guest 00104,Male,1956-06-28,2022-06-05,Vacation,Word of mouth,2,5,Detractors,Gym,Facility,Good,3
105,Guest 00105,Male,1962-07-03,2021-02-27,Function,Television advertisement,4,4,Detractors,Staff attitude,Staff,Average,2
106,Guest 00106,Female,1985-04-16,2020-12-28,Business,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Average,2
107,Guest 00107,Female,1958-04-22,2020-11-25,Function,Word of mouth,5,4,Detractors,Room service,Room,Excellent,5
108,Guest 00108,Female,1984-04-26,2022-07-06,Vacation,Television advertisement,4,8,Passives,Room cleanliness,Room,Average,2
109,Guest 00109,Female,1993-12-28,2020-12-24,Function,Search engine,5,9,Promoters,Food quality,Restaurant,Poor,1
110,Guest 00110,Female,1976-04-08,2021-06-01,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Poor,1
111,Guest 00111,Male,2004-10-10,2021-12-22,Business,Organization,3,9,Promoters,Broadband & TV,Facility,Average,2
112,Guest 00112,Male,1979-03-10,2020-03-14,Vacation,Internet advertisement,5,8,Passives,Gym,Facility,Good,3
113,Guest 00113,Male,2006-03-14,2020-09-04,Business,Organization,5,9,Promoters,Staff attitude,Staff,Poor,1
114,Guest 00114,Female,1966-01-24,2022-06-29,Vacation,Internet advertisement,3,9,Promoters,Check-in Process,Staff,Average,2
115,Guest 00115,Female,1958-03-28,2020-04-23,Vacation,Word of mouth,4,9,Promoters,Room service,Room,Good,3
116,Guest 00116,Female,1966-03-19,2021-03-26,Business,Internet advertisement,4,8,Passives,Room cleanliness,Room,Very good,4
117,Guest 00117,Male,1998-07-06,2022-01-05,Business,Organization,4,9,Promoters,Food quality,Restaurant,Excellent,5
118,Guest 00118,Male,2001-08-20,2021-01-14,Vacation,hotel booking sites,5,5,Detractors,Variety of food,Restaurant,Poor,1
119,Guest 00119,Female,2002-04-27,2021-06-27,Other,hotel booking sites,5,8,Passives,Broadband & TV,Facility,Excellent,5
120,Guest 00120,Female,1987-04-05,2022-03-26,Vacation,Television advertisement,2,10,Promoters,Gym,Facility,Average,2
121,Guest 00121,Female,2001-05-02,2020-06-05,Business,Organization,4,7,Passives,Staff attitude,Staff,Average,2
122,Guest 00122,Male,1976-10-02,2021-01-27,Vacation,Internet advertisement,4,9,Promoters,Check-in Process,Staff,Average,2
123,Guest 00123,Female,1953-07-12,2022-01-23,Business,Organization,4,7,Passives,Room service,Room,Average,2
124,Guest 00124,Male,1995-03-19,2022-10-08,Business,Organization,2,8,Passives,Room cleanliness,Room,Very good,4
125,Guest 00125,Male,1984-02-20,2020-08-12,Vacation,Internet advertisement,4,4,Detractors,Food quality,Restaurant,Excellent,5
126,Guest 00126,Female,1996-10-09,2020-10-11,Business,Search engine,4,6,Detractors,Variety of food,Restaurant,Poor,1
127,Guest 00127,Male,1966-05-29,2022-02-22,Function,Television advertisement,4,9,Promoters,Broadband & TV,Facility,Good,3
128,Guest 00128,Male,1971-09-21,2022-10-10,Business,Organization,5,7,Passives,Gym,Facility,Very good,4
129,Guest 00129,Male,1966-11-06,2021-08-10,Vacation,Word of mouth,2,4,Detractors,Staff attitude,Staff,Very good,4
130,Guest 00130,Female,1951-09-19,2021-09-18,Business,Organization,3,7,Passives,Check-in Process,Staff,Excellent,5
131,Guest 00131,Male,1960-10-05,2022-04-23,Function,Search engine,2,4,Detractors,Room service,Room,Good,3
132,Guest 00132,Male,1968-09-10,2021-10-08,Business,Organization,1,9,Promoters,Room cleanliness,Room,Excellent,5
133,Guest 00133,Female,2004-08-15,2022-02-23,Function,Word of mouth,3,9,Promoters,Food quality,Restaurant,Good,3
134,Guest 00134,Female,2004-08-06,2021-06-30,Function,Television advertisement,1,9,Promoters,Variety of food,Restaurant,Good,3
135,Guest 00135,Male,1995-05-09,2022-10-30,Business,Organization,1,5,Detractors,Broadband & TV,Facility,Excellent,5
136,Guest 00136,Female,1986-05-15,2021-06-19,Business,Organization,4,4,Detractors,Gym,Facility,Good,3
137,Guest 00137,Female,1974-05-26,2021-11-08,Vacation,Television advertisement,5,9,Promoters,Staff attitude,Staff,Excellent,5
138,Guest 00138,Female,1953-10-27,2020-07-13,Business,Organization,3,9,Promoters,Check-in Process,Staff,Very good,4
139,Guest 00139,Female,1989-03-15,2021-04-08,Business,Organization,4,9,Promoters,Room service,Room,Very good,4
140,Guest 00140,Male,1970-09-10,2021-05-08,Business,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Good,3
141,Guest 00141,Male,1976-11-26,2020-04-17,Vacation,News paper,4,9,Promoters,Food quality,Restaurant,Good,3
142,Guest 00142,Female,1990-10-22,2020-01-06,Function,News paper,4,10,Promoters,Variety of food,Restaurant,Poor,1
143,Guest 00143,Female,1994-06-27,2022-06-29,Business,Organization,4,10,Promoters,Broadband & TV,Facility,Poor,1
144,Guest 00144,Female,1998-12-22,2021-10-04,Business,Organization,5,9,Promoters,Gym,Facility,Poor,1
145,Guest 00145,Male,1971-05-22,2022-05-28,Business,Word of mouth,3,4,Detractors,Staff attitude,Staff,Good,3
146,Guest 00146,Female,1972-01-16,2022-03-04,Function,Search engine,5,4,Detractors,Check-in Process,Staff,Very good,4
147,Guest 00147,Female,1962-04-10,2022-10-26,Vacation,Television advertisement,3,3,Detractors,Room service,Room,Excellent,5
148,Guest 00148,Male,1984-12-28,2021-10-29,Business,Word of mouth,4,9,Promoters,Room cleanliness,Room,Poor,1
149,Guest 00149,Female,1958-10-04,2020-07-26,Vacation,Search engine,4,9,Promoters,Food quality,Restaurant,Good,3
150,Guest 00150,Male,1967-04-10,2022-08-08,Business,Organization,5,10,Promoters,Variety of food,Restaurant,Average,2
151,Guest 00151,Male,1954-11-12,2021-01-18,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
152,Guest 00152,Male,1973-06-19,2022-10-15,Function,Word of mouth,5,8,Passives,Gym,Facility,Very good,4
153,Guest 00153,Female,1988-04-26,2022-09-13,Function,Word of mouth,3,6,Detractors,Staff attitude,Staff,Average,2
154,Guest 00154,Male,1961-09-02,2022-09-25,Function,Search engine,5,8,Passives,Check-in Process,Staff,Average,2
155,Guest 00155,Male,1986-01-04,2021-10-15,Other,Organization,2,8,Passives,Room service,Room,Good,3
156,Guest 00156,Female,1954-02-13,2020-12-09,Business,Organization,1,9,Promoters,Room cleanliness,Room,Good,3
157,Guest 00157,Male,1992-12-12,2022-05-08,Function,Television advertisement,5,10,Promoters,Food quality,Restaurant,Very good,4
158,Guest 00158,Male,1997-07-29,2021-10-02,Function,Word of mouth,2,8,Passives,Variety of food,Restaurant,Very good,4
159,Guest 00159,Male,1953-03-19,2020-03-02,Vacation,hotel booking sites,4,5,Detractors,Broadband & TV,Facility,Very good,4
160,Guest 00160,Male,1963-10-30,2021-07-07,Function,Organization,4,9,Promoters,Gym,Facility,Average,2
161,Guest 00161,Male,1987-12-02,2021-06-18,Business,Organization,4,10,Promoters,Staff attitude,Staff,Poor,1
162,Guest 00162,Male,1991-08-07,2022-05-12,Function,Search engine,3,9,Promoters,Check-in Process,Staff,Good,3
163,Guest 00163,Female,1987-02-15,2022-06-02,Function,Search engine,4,7,Passives,Room service,Room,Very good,4
164,Guest 00164,Male,1963-09-06,2020-02-06,Vacation,Search engine,4,5,Detractors,Room cleanliness,Room,Good,3
165,Guest 00165,Male,1965-06-21,2020-11-19,Business,Organization,4,7,Passives,Food quality,Restaurant,Excellent,5
166,Guest 00166,Male,2004-08-20,2021-08-01,Business,hotel booking sites,5,9,Promoters,Variety of food,Restaurant,Average,2
167,Guest 00167,Male,1977-04-05,2020-08-16,Business,Organization,3,7,Passives,Broadband & TV,Facility,Good,3
168,Guest 00168,Male,1982-05-15,2022-01-10,Vacation,hotel booking sites,5,4,Detractors,Gym,Facility,Good,3
169,Guest 00169,Male,1991-09-04,2021-02-09,Business,Organization,4,9,Promoters,Staff attitude,Staff,Excellent,5
170,Guest 00170,Male,1979-09-19,2020-07-15,Vacation,hotel booking sites,5,6,Detractors,Check-in Process,Staff,Excellent,5
171,Guest 00171,Female,1993-11-24,2022-08-15,Vacation,News paper,3,9,Promoters,Room service,Room,Good,3
172,Guest 00172,Female,1983-06-30,2021-01-17,Business,Organization,4,9,Promoters,Room cleanliness,Room,Poor,1
173,Guest 00173,Male,1994-04-13,2022-08-18,Business,Organization,4,3,Detractors,Food quality,Restaurant,Poor,1
174,Guest 00174,Female,1951-09-13,2020-05-08,Function,Television advertisement,3,7,Passives,Variety of food,Restaurant,Average,2
175,Guest 00175,Male,1973-01-24,2020-03-23,Vacation,Word of mouth,2,8,Passives,Broadband & TV,Facility,Excellent,5
176,Guest 00176,Female,1980-06-30,2022-07-02,Function,Organization,1,9,Promoters,Gym,Facility,Poor,1
177,Guest 00177,Female,1968-01-14,2021-12-03,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
178,Guest 00178,Female,2000-06-27,2021-01-23,Business,Organization,3,8,Passives,Check-in Process,Staff,Very good,4
179,Guest 00179,Male,1982-03-11,2021-10-14,Business,Organization,3,9,Promoters,Room service,Room,Average,2
180,Guest 00180,Female,1951-07-03,2021-06-20,Vacation,Word of mouth,4,8,Passives,Room cleanliness,Room,Excellent,5
181,Guest 00181,Male,2003-11-11,2022-03-07,Business,Organization,5,3,Detractors,Food quality,Restaurant,Very good,4
182,Guest 00182,Male,2005-02-23,2022-08-14,Other,Word of mouth,2,7,Passives,Variety of food,Restaurant,Average,2
183,Guest 00183,Male,1973-11-08,2022-07-19,Function,Television advertisement,5,7,Passives,Broadband & TV,Facility,Average,2
184,Guest 00184,Female,1977-10-01,2022-08-16,Business,Organization,5,8,Passives,Gym,Facility,Good,3
185,Guest 00185,Male,1970-02-09,2020-07-05,Business,Organization,5,7,Passives,Staff attitude,Staff,Excellent,5
186,Guest 00186,Male,1956-06-10,2021-04-04,Vacation,hotel booking sites,5,7,Passives,Check-in Process,Staff,Good,3
187,Guest 00187,Female,1982-07-24,2021-08-12,Vacation,Television advertisement,2,9,Promoters,Room service,Room,Excellent,5
188,Guest 00188,Male,1967-03-27,2022-07-02,Business,Word of mouth,5,7,Passives,Room cleanliness,Room,Good,3
189,Guest 00189,Male,1988-12-09,2020-01-05,Business,Word of mouth,2,9,Promoters,Food quality,Restaurant,Excellent,5
190,Guest 00190,Female,2005-12-28,2020-02-25,Function,Television advertisement,4,8,Passives,Variety of food,Restaurant,Average,2
191,Guest 00191,Female,1973-02-06,2020-12-01,Business,Word of mouth,1,8,Passives,Broadband & TV,Facility,Poor,1
192,Guest 00192,Male,1957-08-09,2022-03-13,Business,Organization,3,9,Promoters,Gym,Facility,Poor,1
193,Guest 00193,Male,1962-11-29,2022-09-22,Vacation,News paper,5,8,Passives,Staff attitude,Staff,Excellent,5
194,Guest 00194,Male,1973-07-03,2021-10-12,Vacation,Internet advertisement,1,7,Passives,Check-in Process,Staff,Good,3
195,Guest 00195,Male,2000-12-07,2020-08-02,Business,Organization,5,7,Passives,Room service,Room,Good,3
196,Guest 00196,Male,1960-03-15,2020-07-24,Vacation,hotel booking sites,5,3,Detractors,Room cleanliness,Room,Average,2
197,Guest 00197,Male,1960-04-23,2020-09-26,Business,Organization,5,10,Promoters,Food quality,Restaurant,Good,3
198,Guest 00198,Male,1987-12-11,2022-10-22,Function,Word of mouth,5,5,Detractors,Variety of food,Restaurant,Average,2
199,Guest 00199,Male,1971-04-07,2022-08-26,Function,Search engine,4,8,Passives,Broadband & TV,Facility,Very good,4
200,Guest 00200,Male,1995-09-13,2021-08-21,Function,Word of mouth,5,10,Promoters,Gym,Facility,Excellent,5
201,Guest 00201,Male,2001-05-04,2020-06-16,Function,Word of mouth,5,9,Promoters,Staff attitude,Staff,Average,2
202,Guest 00202,Male,1957-10-05,2021-07-23,Business,Organization,1,9,Promoters,Check-in Process,Staff,Average,2
203,Guest 00203,Female,2006-05-20,2020-09-18,Function,Word of mouth,5,4,Detractors,Room service,Room,Good,3
204,Guest 00204,Male,1996-05-01,2021-07-03,Business,Organization,5,7,Passives,Room cleanliness,Room,Very good,4
205,Guest 00205,Male,1961-10-06,2021-12-30,Business,Search engine,5,8,Passives,Food quality,Restaurant,Excellent,5
206,Guest 00206,Male,1979-04-22,2021-10-28,Function,News paper,2,10,Promoters,Variety of food,Restaurant,Good,3
207,Guest 00207,Male,2005-02-14,2021-01-18,Other,Search engine,4,6,Detractors,Broadband & TV,Facility,Very good,4
208,Guest 00208,Female,1963-11-13,2022-03-08,Vacation,Television advertisement,5,9,Promoters,Gym,Facility,Poor,1
209,Guest 00209,Female,2006-06-22,2021-10-16,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
210,Guest 00210,Male,1995-03-15,2020-08-17,Vacation,Search engine,2,7,Passives,Check-in Process,Staff,Excellent,5
211,Guest 00211,Male,1971-08-21,2020-09-06,Business,Organization,5,7,Passives,Room service,Room,Very good,4
212,Guest 00212,Male,2000-12-04,2022-03-15,Function,Word of mouth,5,3,Detractors,Room cleanliness,Room,Excellent,5
213,Guest 00213,Female,1995-08-09,2020-02-07,Business,Organization,1,4,Detractors,Food quality,Restaurant,Excellent,5
214,Guest 00214,Male,1988-02-24,2021-04-20,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Average,2
215,Guest 00215,Male,2006-07-09,2020-06-08,Business,Internet advertisement,4,4,Detractors,Broadband & TV,Facility,Poor,1
216,Guest 00216,Female,1971-04-06,2020-10-18,Vacation,Television advertisement,5,6,Detractors,Gym,Facility,Excellent,5
217,Guest 00217,Female,1974-10-10,2021-12-14,Business,Organization,4,9,Promoters,Staff attitude,Staff,Very good,4
218,Guest 00218,Male,1986-09-19,2020-06-21,Business,Organization,1,9,Promoters,Check-in Process,Staff,Excellent,5
219,Guest 00219,Male,1967-02-15,2022-09-13,Function,Internet advertisement,3,10,Promoters,Room service,Room,Very good,4
220,Guest 00220,Male,1969-07-31,2020-05-31,Vacation,Word of mouth,5,7,Passives,Room cleanliness,Room,Poor,1
221,Guest 00221,Female,1954-03-11,2020-12-17,Business,Organization,3,8,Passives,Food quality,Restaurant,Very good,4
222,Guest 00222,Female,1956-01-18,2021-07-02,Function,Organization,5,5,Detractors,Variety of food,Restaurant,Average,2
223,Guest 00223,Male,1978-10-11,2022-05-29,Business,Organization,2,10,Promoters,Broadband & TV,Facility,Excellent,5
224,Guest 00224,Female,2003-11-23,2020-10-01,Business,hotel booking sites,5,7,Passives,Gym,Facility,Good,3
225,Guest 00225,Female,1951-09-28,2021-10-10,Business,Organization,2,6,Detractors,Staff attitude,Staff,Very good,4
226,Guest 00226,Male,1970-04-05,2021-08-18,Vacation,Search engine,4,9,Promoters,Check-in Process,Staff,Good,3
227,Guest 00227,Female,1960-05-09,2021-08-09,Function,hotel booking sites,4,6,Detractors,Room service,Room,Good,3
228,Guest 00228,Female,1969-08-06,2021-11-17,Business,Organization,5,7,Passives,Room cleanliness,Room,Average,2
229,Guest 00229,Male,2001-09-18,2021-01-21,Vacation,Word of mouth,2,8,Passives,Food quality,Restaurant,Excellent,5
230,Guest 00230,Female,1962-11-28,2020-09-02,Business,Organization,1,9,Promoters,Variety of food,Restaurant,Average,2
